001|科學麵|10|25.0|20.0|1.0|2019-01-01|2019-01-01|自訂|食品|自訂|大包|伴你長大的好朋友|10.0|10.0|二手|普通|1|data/images/1.jpg|1.jpg
002|Uniqlo|10|299.0|299.0|0.9|2019-02-02|2019-02-02|自訂|男生衣著|自訂|黑色|最新流行趨勢|10.0|10.0|二手|爛|2|data/images/2.jpg|2.jpg  
003|IPhoneX|10|25999.0|25999.0|0.75|2019-03-03|2019-03-03|自訂|3C商品|自訂|紅色|今年新發表手機|10.0|10.0|新品|讚|3|data/images/3.jpg|3.jpg
004|幫寶適紙尿褲|10|299.0|299.0|0.9|2019-02-02|2019-02-02|自訂|嬰幼童與母親|自訂|黑色|親和肌膚的婦幼用品|10.0|10.0|二手|爛|4|data/images/4.jpg|4.jpg
005|NIKE AIR慢跑鞋|10|299.0|299.0|0.9|2019-02-02|2019-02-02|自訂|戶外與運動用品|自訂|黑色|最新流行趨勢|10.0|10.0|二手|爛|5|data/images/5.jpg|5.jpg 
006|ASUS變型金剛|10|3399.0|3399.0|0.9|2019-02-02|2019-02-02|自訂|手機平版與周邊|自訂|黑色|方便攜帶的筆記型電腦|10.0|10.0|二手|爛|6|data/images/6.jpg|6.jpg
007|愛迪達|10|2990.0|2990.0|0.9|2019-03-02|2019-03-02|自訂|女鞋|自訂|黑色|出門旅遊的最佳選擇|10.0|10.0|二手|爛|7|data/images/7.jpg|7.jpg
008|LaNew|10|299.0|299.0|0.9|2019-02-07|2019-02-07|自訂|男鞋|自訂|黑色|父親節最佳禮物|10.0|10.0|新|讚|8|data/images/8.jpg|8.jpg
009|BMW車用香水|10|2599.0|2599.0|0.9|2019-02-05|2019-02-05|自訂|汽機車零件百貨|自訂|黑色|最新流行趨勢|10.0|10.0|二手|讚|9|data/images/9.jpg|9.jpg
010|牛頭牌狗罐頭|10|299.0|299.0|0.9|2019-02-04|2019-02-04|自訂|寵物|自訂|黑色|營養寵物食品|10.0|10.0|二手|爛|10|data/images/10.jpg|10.jpg
011|海賊王公仔|10|2939.0|2939.0|0.9|2019-05-02|2019-05-02|自訂|娛樂收藏|自訂|黑色|正版流行玩具|10.0|10.0|新|爛|11|data/images/11.jpg|11.jpg
012|派拉蒙影院|10|299.0|299.0|0.9|2019-06-02|2019-06-02|自訂|服務票券|自訂|黑色|最新流行電影|10.0|10.0|二手|好|12|data/images/12.jpg|12.jpg
013|雪精粹|10|2499.0|2499.0|0.9|2019-07-07|2019-07-07|自訂|代買代購|自訂|白色|護膚用品|10.0|10.0|新品|好|13|data/images/13.jpg|13.jpg 
014|大同電鍋|10|2979.0|2979.0|0.9|2019-08-08|2019-08-08|自訂|居家生活|自訂|黑色|實用廚房幫手|10.0|10.0|二手|爛|14|data/images/14.jpg|14.jpg
015|Sony|10|29999.0|29999.0|0.8|2019-09-09|2019-09-09|自訂|家電影音|自訂|黑色|最新流行趨勢|10.0|10.0|新|普通|15|data/images/15.jpg|15.jpg
016|Chanel|10|2199.0|2199.0|0.9|2019-02-02|2019-02-02|自訂|女生配件|自訂|白色|時下最新款|10.0|10.0|新|超讚|16|data/images/16.jpg|16.jpg 
017|Coach|10|2999.0|2999.0|0.8|2019-10-10|2019-10-10|自訂|男生包包與配件|自訂|黑色|今年新款|10.0|10.0|新品|讚|17|data/images/17.jpg|17.jpg
018|彩色磁吸流光充電傳輸線1米|260|299.0|299.0|0.9|2019-10-10|2019-10-10|長度1M材質PVC|3C商品|自訂|黑色|流光磁力充電線(閃光磁吸線)本款流光線為PVC材質，可在黑夜中發出炫麗的閃光具備5V2A的快充效果，充電效率佳。共有蘋果、安卓、Type C三種接頭，適用市面上99%的手機及平板產品|10.0|10.0|二手|爛|19|data/images/19.jpg|19.jpg
019|AirPods耳機套 小熊餅乾造型|900|499.0|340.0|0.9|2019-10-10|2019-10-10|自訂|3C商品|自訂|褐色|還在用一塵不變的素面耳機套嗎？快來看看這個吧！！超可愛的小熊餅乾矽膠耳機套|10.0|10.0|新|讚|20|data/images/20.jpg|20.jpg
